slot_id,x1,y1,x2,y2,x3,y3,x4,y4
slot_0,47,50,96,50,95,75,45,75
slot_1,96,50,146,51,145,76,95,75
slot_2,45,75,95,75,94,101,44,100
slot_3,95,75,145,76,144,101,94,101
slot_4,44,100,94,101,93,126,42,126
slot_5,94,101,144,101,143,127,93,126
slot_6,42,126,93,126,91,152,41,151
slot_7,93,126,143,127,142,152,91,152
slot_8,41,151,91,152,90,177,40,177
slot_9,91,152,142,152,141,178,90,177
slot_10,40,177,90,177,89,203,38,202
slot_11,90,177,141,178,140,203,89,203
slot_12,38,202,89,203,88,228,37,228
slot_13,89,203,140,203,139,229,88,228
slot_14,37,228,88,228,87,254,36,253
slot_15,88,228,139,229,138,254,87,254
slot_16,36,253,87,254,86,279,34,279
slot_17,87,254,138,254,137,280,86,279
slot_18,34,279,86,279,85,305,33,304
slot_19,86,279,137,280,136,305,85,305
slot_20,33,304,85,305,83,330,32,330
slot_21,85,305,136,305,135,331,83,330
slot_22,32,330,83,330,82,356,30,355
slot_23,83,330,135,331,134,356,82,356
slot_24,30,355,82,356,81,381,29,381
slot_25,82,356,134,356,133,382,81,381
slot_26,29,381,81,381,80,407,28,406
slot_27,81,381,133,382,132,407,80,407
slot_28,28,406,80,407,79,432,26,432
slot_29,80,407,132,407,131,433,79,432
slot_30,26,432,79,432,78,458,25,457
slot_31,79,432,131,433,130,458,78,458
slot_32,25,457,78,458,77,483,24,483
slot_33,78,458,130,458,130,484,77,483
slot_34,197,49,245,49,244,75,196,74
slot_35,245,49,293,50,292,75,244,75
slot_36,196,74,244,75,243,100,195,100
slot_37,244,75,292,75,292,101,243,100
slot_38,195,100,243,100,243,126,194,125
slot_39,243,100,292,101,291,126,243,126
slot_40,194,125,243,126,242,151,193,151
slot_41,243,126,291,126,291,152,242,151
slot_42,193,151,242,151,241,177,192,176
slot_43,242,151,291,152,290,177,241,177
slot_44,192,176,241,177,241,202,192,202
slot_45,241,177,290,177,290,203,241,202
slot_46,192,202,241,202,240,228,191,227
slot_47,241,202,290,203,289,228,240,228
slot_48,191,227,240,228,239,253,190,253
slot_49,240,228,289,228,289,254,239,253
slot_50,190,253,239,253,239,279,189,278
slot_51,239,253,289,254,288,279,239,279
slot_52,189,278,239,279,238,304,188,304
slot_53,239,279,288,279,288,305,238,304
slot_54,188,304,238,304,237,330,187,329
slot_55,238,304,288,305,287,330,237,330
slot_56,187,329,237,330,237,355,187,355
slot_57,237,330,287,330,287,356,237,355
slot_58,187,355,237,355,236,381,186,380
slot_59,237,355,287,356,286,381,236,381
slot_60,186,380,236,381,235,406,185,406
slot_61,236,381,286,381,286,407,235,406
slot_62,185,406,235,406,235,432,184,431
slot_63,235,406,286,407,285,432,235,432
slot_64,184,431,235,432,234,457,183,457
slot_65,235,432,285,432,285,458,234,457
slot_66,183,457,234,457,234,483,183,483
slot_67,234,457,285,458,285,484,234,483
slot_68,345,47,394,47,394,73,344,72
slot_69,394,47,444,48,444,73,394,73
slot_70,344,72,394,73,394,98,344,98
slot_71,394,73,444,73,444,99,394,98
slot_72,344,98,394,98,393,124,343,124
slot_73,394,98,444,99,444,124,393,124
slot_74,343,124,393,124,393,150,343,149
slot_75,393,124,444,124,444,150,393,150
slot_76,343,149,393,150,393,175,343,175
slot_77,393,150,444,150,444,176,393,175
slot_78,343,175,393,175,393,201,342,201
slot_79,393,175,444,176,444,201,393,201
slot_80,342,201,393,201,393,227,342,226
slot_81,393,201,444,201,444,227,393,227
slot_82,342,226,393,227,393,252,342,252
slot_83,393,227,444,227,444,253,393,252
slot_84,342,252,393,252,392,278,341,278
slot_85,393,252,444,253,444,278,392,278
slot_86,341,278,392,278,392,304,341,304
slot_87,392,278,444,278,444,304,392,304
slot_88,341,304,392,304,392,329,341,329
slot_89,392,304,444,304,444,330,392,329
slot_90,341,329,392,329,392,355,340,355
slot_91,392,329,444,330,444,355,392,355
slot_92,340,355,392,355,392,381,340,381
slot_93,392,355,444,355,444,381,392,381
slot_94,340,381,392,381,392,406,340,406
slot_95,392,381,444,381,444,407,392,406
slot_96,340,406,392,406,391,432,339,432
slot_97,392,406,444,407,444,432,391,432
slot_98,339,432,391,432,391,458,339,458
slot_99,391,432,444,432,444,458,391,458
slot_100,339,458,391,458,391,484,339,484
slot_101,391,458,444,458,444,484,391,484
slot_102,495,47,545,47,545,73,495,72
slot_103,545,47,595,48,595,73,545,73
slot_104,495,72,545,73,545,98,495,98
slot_105,545,73,595,73,595,99,545,98
slot_106,495,98,545,98,545,124,495,124
slot_107,545,98,595,99,596,124,545,124
slot_108,495,124,545,124,546,150,495,150
slot_109,545,124,596,124,596,150,546,150
slot_110,495,150,546,150,546,176,495,175
slot_111,546,150,596,150,597,176,546,176
slot_112,495,175,546,176,546,201,496,201
slot_113,546,176,597,176,597,201,546,201
slot_114,496,201,546,201,547,227,496,227
slot_115,546,201,597,201,597,227,547,227
slot_116,496,227,547,227,547,253,496,253
slot_117,547,227,597,227,598,253,547,253
slot_118,496,253,547,253,547,278,496,278
slot_119,547,253,598,253,598,278,547,278
slot_120,496,278,547,278,547,304,496,304
slot_121,547,278,598,278,599,304,547,304
slot_122,496,304,547,304,548,330,496,330
slot_123,547,304,599,304,599,330,548,330
slot_124,496,330,548,330,548,355,497,356
slot_125,548,330,599,330,599,355,548,355
slot_126,497,356,548,355,548,381,497,381
slot_127,548,355,599,355,600,381,548,381
slot_128,497,381,548,381,549,407,497,407
slot_129,548,381,600,381,600,407,549,407
slot_130,497,407,549,407,549,433,497,433
slot_131,549,407,600,407,601,432,549,433
slot_132,497,433,549,433,549,458,497,459
slot_133,549,433,601,432,601,458,549,458
slot_134,497,459,549,458,550,484,498,485
slot_135,549,458,601,458,602,484,550,484
slot_136,647,49,696,47,696,73,647,74
slot_137,696,47,745,46,745,71,696,73
slot_138,647,74,696,73,697,98,648,99
slot_139,696,73,745,71,746,97,697,98
slot_140,648,99,697,98,698,124,648,125
slot_141,697,98,746,97,747,122,698,124
slot_142,648,125,698,124,699,149,649,150
slot_143,698,124,747,122,748,148,699,149
slot_144,649,150,699,149,699,175,649,176
slot_145,699,149,748,148,749,174,699,175
slot_146,649,176,699,175,700,200,650,201
slot_147,699,175,749,174,750,199,700,200
slot_148,650,201,700,200,701,226,651,227
slot_149,700,200,750,199,751,225,701,226
slot_150,651,227,701,226,702,251,651,252
slot_151,701,226,751,225,752,251,702,251
slot_152,651,252,702,251,702,277,652,278
slot_153,702,251,752,251,753,276,702,277
slot_154,652,278,702,277,703,303,652,303
slot_155,702,277,753,276,754,302,703,303
slot_156,652,303,703,303,704,328,653,329
slot_157,703,303,754,302,755,328,704,328
slot_158,653,329,704,328,705,354,654,354
slot_159,704,328,755,328,756,353,705,354
slot_160,654,354,705,354,705,379,654,380
slot_161,705,354,756,353,757,379,705,379
slot_162,654,380,705,379,706,405,655,405
slot_163,705,379,757,379,758,405,706,405
slot_164,655,405,706,405,707,430,655,431
slot_165,706,405,758,405,759,430,707,430
slot_166,655,431,707,430,708,456,656,456
slot_167,707,430,759,430,760,456,708,456
slot_168,656,456,708,456,709,482,657,482
slot_169,708,456,760,456,761,482,709,482
slot_170,814,49,864,49,865,74,815,74
slot_171,864,49,914,49,915,74,865,74
slot_172,815,74,865,74,866,99,816,99
slot_173,865,74,915,74,917,99,866,99
slot_174,816,99,866,99,868,125,817,125
slot_175,866,99,917,99,918,125,868,125
slot_176,817,125,868,125,869,150,818,150
slot_177,868,125,918,125,920,150,869,150
slot_178,818,150,869,150,870,176,819,176
slot_179,869,150,920,150,921,176,870,176
slot_180,819,176,870,176,872,201,821,201
slot_181,870,176,921,176,923,201,872,201
slot_182,821,201,872,201,873,226,822,226
slot_183,872,201,923,201,924,226,873,226
slot_184,822,226,873,226,874,252,823,252
slot_185,873,226,924,226,926,252,874,252
slot_186,823,252,874,252,876,277,824,277
slot_187,874,252,926,252,927,277,876,277
slot_188,824,277,876,277,877,303,825,303
slot_189,876,277,927,277,929,303,877,303
slot_190,825,303,877,303,878,328,826,328
slot_191,877,303,929,303,930,328,878,328
slot_192,826,328,878,328,880,353,828,353
slot_193,878,328,930,328,932,353,880,353
slot_194,828,353,880,353,881,379,829,379
slot_195,880,353,932,353,933,379,881,379
slot_196,829,379,881,379,882,404,830,404
slot_197,881,379,933,379,935,404,882,404
slot_198,830,404,882,404,884,430,831,430
slot_199,882,404,935,404,936,430,884,430
slot_200,831,430,884,430,885,455,832,455
slot_201,884,430,936,430,938,455,885,455
slot_202,832,455,885,455,887,481,834,481
slot_203,885,455,938,455,940,481,887,481
